edge,role,state,status,tar,job_id,job_name,comment,success,scf,stage,energy_Eh
R05E001,M,ANI,success,archive3595(1).tar,3700,R05E001_M_ANI,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=M | state=ANI | source=existing_xTB | smiles=Nc1cc(NCCCCC=O)nc(N)[n+]1[O-],True,8,0,-776.01464237
R05E010,P,N,success,archive3595(1).tar,3615,10pn,P05 StateFlux Round05 V4 | edge=R05E010 | LTKBID=LT03606 | compound=Ribociclib succinate | class=dealkylation | role=P | state=N | source=existing_xTB | smiles=CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,True,8,0,-1407.39175963
R05E011,M,ANI,success,archive3595(1).tar,3720,R05E011_M_ANI,P05 StateFlux Round05 V4 | edge=R05E011 | LTKBID=LT00944 | compound=Fenoldopam mesylate | class=oxidation | role=M | state=ANI | source=existing_xTB | smiles=Oc1ccc(C2CNCCc3c(Cl)c(O)c(O)c(O)c32)cc1,True,8,0,-1434.89656793
R05E011,M,CAT,success,archive3595(1).tar,3672,R05E011_M_CAT,P05 StateFlux Round05 V4 | edge=R05E011 | LTKBID=LT00944 | compound=Fenoldopam mesylate | class=oxidation | role=M | state=CAT | source=existing_xTB | smiles=Oc1ccc(C2CNCCc3c(Cl)c(O)c(O)c(O)c32)cc1,True,8,0,-1434.65866129
R05E011,M,N,success,archive3595(1).tar,3616,R05E011_M_N,P05 StateFlux Round05 V4 | edge=R05E011 | LTKBID=LT00944 | compound=Fenoldopam mesylate | class=oxidation | role=M | state=N | source=existing_xTB | smiles=Oc1ccc(C2CNCCc3c(Cl)c(O)c(O)c(O)c32)cc1,True,8,0,-1434.87396227
R05E011,P,ANI,success,archive3595(1).tar,3721,R05E011_P_ANI,P05 StateFlux Round05 V4 | edge=R05E011 | LTKBID=LT00944 | compound=Fenoldopam mesylate | class=oxidation | role=P | state=ANI | source=existing_xTB | smiles=Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,True,8,0,-1359.69914512
R05E011,P,CAT,success,archive3595(1).tar,3673,R05E011_P_CAT,P05 StateFlux Round05 V4 | edge=R05E011 | LTKBID=LT00944 | compound=Fenoldopam mesylate | class=oxidation | role=P | state=CAT | source=existing_xTB | smiles=Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,True,8,0,-1359.46171345
R05E011,P,N,success,archive3595(1).tar,3617,R05E011_P_N,P05 StateFlux Round05 V4 | edge=R05E011 | LTKBID=LT00944 | compound=Fenoldopam mesylate | class=oxidation | role=P | state=N | source=existing_xTB | smiles=Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,True,8,0,-1359.6754978
R05E012,M,ANI,success,archive3595(1).tar,3722,R05E012_M_ANI,P05 StateFlux Round05 V4 | edge=R05E012 | LTKBID=LT03643 | compound=Brivaracetam | class=oxidation | role=M | state=ANI | source=existing_xTB | smiles=C=C[C@@H](C(N)=O)N1C[C@H](CCC)CC1=O,True,8,0,-689.8310723
R05E012,M,CAT,success,archive3595(1).tar,3674,R05E012_M_CAT,P05 StateFlux Round05 V4 | edge=R05E012 | LTKBID=LT03643 | compound=Brivaracetam | class=oxidation | role=M | state=CAT | source=existing_xTB | smiles=C=C[C@@H](C(N)=O)N1C[C@H](CCC)CC1=O,True,8,0,-689.55419542
R05E012,M,N,success,archive3595(1).tar,3618,R05E012_M_N,P05 StateFlux Round05 V4 | edge=R05E012 | LTKBID=LT03643 | compound=Brivaracetam | class=oxidation | role=M | state=N | source=existing_xTB | smiles=C=C[C@@H](C(N)=O)N1C[C@H](CCC)CC1=O,True,8,0,-689.80768411
R05E012,P,ANI,success,archive3595(1).tar,3723,R05E012_P_ANI,P05 StateFlux Round05 V4 | edge=R05E012 | LTKBID=LT03643 | compound=Brivaracetam | class=oxidation | role=P | state=ANI | source=existing_xTB | smiles=CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,True,8,0,-691.06000088
R05E012,P,CAT,success,archive3595(1).tar,3675,R05E012_P_CAT,P05 StateFlux Round05 V4 | edge=R05E012 | LTKBID=LT03643 | compound=Brivaracetam | class=oxidation | role=P | state=CAT | source=existing_xTB | smiles=CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,True,8,0,-690.8051408
R05E012,P,N,success,archive3595(1).tar,3619,R05E012_P_N,P05 StateFlux Round05 V4 | edge=R05E012 | LTKBID=LT03643 | compound=Brivaracetam | class=oxidation | role=P | state=N | source=existing_xTB | smiles=CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,True,8,0,-691.05312115
R05E013,M,ANI,success,archive3595(1).tar,3724,R05E013_M_ANI,P05 StateFlux Round05 V4 | edge=R05E013 | LTKBID=LT03770 | compound=Tecovirimat | class=oxidation | role=M | state=ANI | source=existing_xTB | smiles=O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)C1=CC=C(C(F)(F)F)C2OC12,True,8,0,-1442.6180738
R05E013,M,CAT,success,archive3595(1).tar,3676,R05E013_M_CAT,P05 StateFlux Round05 V4 | edge=R05E013 | LTKBID=LT03770 | compound=Tecovirimat | class=oxidation | role=M | state=CAT | source=existing_xTB | smiles=O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)C1=CC=C(C(F)(F)F)C2OC12,True,8,0,-1442.25127231
