n,positives,negatives,auroc,auprc,balanced_accuracy,accuracy,precision,sensitivity,specificity,f1,mcc,brier,tp,tn,fp,fn,model,repeat,fold
76,32,44,0.7784090909090909,0.7906089782901633,0.6917613636363636,0.6973684210526315,0.6363636363636364,0.65625,0.7272727272727273,0.6461538461538462,0.38203331299651455,0.1929728043036371,21,32,12,11,ECFP,3,0
76,32,44,0.7748579545454545,0.7932822423983048,0.7045454545454546,0.6973684210526315,0.6153846153846154,0.75,0.6590909090909091,0.676056338028169,0.40409919982123604,0.1994758317216976,24,29,15,8,ECFP_StateCore,3,0
76,32,44,0.7620738636363635,0.7775700689886607,0.6207386363636364,0.6052631578947368,0.5227272727272727,0.71875,0.5227272727272727,0.6052631578947368,0.24147727272727273,0.2115844848106836,23,23,21,9,ECFP_FluxCore,3,0
76,32,44,0.7542613636363638,0.7827130571623669,0.6321022727272727,0.618421052631579,0.5348837209302325,0.71875,0.5454545454545454,0.6133333333333333,0.26317850450871,0.21108825579257048,23,24,20,9,ECFP_StateFluxCore,3,0
74,31,43,0.7846961740435109,0.7099148680369443,0.703675918979745,0.7027027027027027,0.6285714285714286,0.7096774193548387,0.6976744186046512,0.6666666666666666,0.4025487006798678,0.1924343113152676,22,30,13,9,ECFP,3,1
74,31,43,0.7801950487621905,0.6646326880106569,0.7055513878469617,0.6891891891891891,0.5952380952380952,0.8064516129032258,0.6046511627906976,0.684931506849315,0.40941697901837715,0.20166580400580197,25,26,17,6,ECFP_StateCore,3,1
74,31,43,0.7606901725431358,0.6531084484025532,0.6661665416354088,0.6486486486486487,0.5581395348837209,0.7741935483870968,0.5581395348837209,0.6486486486486487,0.33233308327081773,0.20493504398881288,24,24,19,7,ECFP_FluxCore,3,1
74,31,43,0.7704426106526632,0.6708972712053489,0.7055513878469617,0.6891891891891891,0.5952380952380952,0.8064516129032258,0.6046511627906976,0.684931506849315,0.40941697901837715,0.204498519681652,25,26,17,6,ECFP_StateFluxCore,3,1
76,31,45,0.8415770609318997,0.8183688959951876,0.7770609318996415,0.7894736842105263,0.7586206896551724,0.7096774193548387,0.8444444444444444,0.7333333333333333,0.5605888586694384,0.16296313162748927,22,38,7,9,ECFP,3,2
76,31,45,0.8164874551971326,0.7674817496542543,0.7709677419354839,0.7763157894736842,0.71875,0.7419354838709677,0.8,0.7301587301587301,0.5394278493849591,0.17053809122750002,23,36,9,8,ECFP_StateCore,3,2
76,31,45,0.8336917562724014,0.7961068609465829,0.7548387096774194,0.7631578947368421,0.7096774193548387,0.7096774193548387,0.8,0.7096774193548387,0.5096774193548387,0.16369563171861537,22,36,9,9,ECFP_FluxCore,3,2
76,31,45,0.8265232974910395,0.7869884984885583,0.7387096774193549,0.75,0.7,0.6774193548387096,0.8,0.6885245901639344,0.48000701257149575,0.1697559258688719,21,36,9,10,ECFP_StateFluxCore,3,2
76,31,45,0.817921146953405,0.7746456550573432,0.7275985663082437,0.7368421052631579,0.6774193548387096,0.6774193548387096,0.7777777777777778,0.6774193548387096,0.4551971326164875,0.17445590482079573,21,35,10,10,ECFP,3,3
76,31,45,0.8150537634408602,0.7718720067403633,0.7426523297491039,0.7368421052631579,0.6486486486486487,0.7741935483870968,0.7111111111111111,0.7058823529411765,0.4771648007146857,0.17003165104217677,24,32,13,7,ECFP_StateCore,3,3
76,31,45,0.8021505376344086,0.7464432561070928,0.7103942652329749,0.7105263157894737,0.6285714285714286,0.7096774193548387,0.7111111111111111,0.6666666666666666,0.41488243360828553,0.17987995208917865,22,32,13,9,ECFP_FluxCore,3,3
