row_id,compound,query_type,ok,query,status,error,source,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey,Title
LT03550,Pirfenidone,name,True,Pirfenidone,,,PubChem_name_property,40632.0,C12H11NO,185.22,CC1=CN(C(=O)C=C1)C2=CC=CC=C2,CC1=CN(C(=O)C=C1)C2=CC=CC=C2,ISWRGOKTTBVCFA-UHFFFAOYSA-N,Pirfenidone
LT03737,Pitolisant hydrochloride,name,True,Pitolisant hydrochloride,,,PubChem_name_property,11551689.0,C17H27Cl2NO,332.3,C1CCN(CC1)CCCOCCCC2=CC=C(C=C2)Cl.Cl,C1CCN(CC1)CCCOCCCC2=CC=C(C=C2)Cl.Cl,XLFKECRRMPOAQS-UHFFFAOYSA-N,Pitolisant Hydrochloride
LT03738,Plazomicin sulfate,name,True,Plazomicin sulfate,,,PubChem_name_property,71515458.0,C25H50N6O14S,690.8,C[C@@]1(CO[C@@H]([C@@H]([C@H]1NC)O)O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@@H]3[C@@H](CC=C(O3)CNCCO)N)N)NC(=O)[C@H](CCN)O)O.OS(=O)(=O)O,CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CNCCO)N)N)NC(=O)C(CCN)O)O.OS(=O)(=O)O,SFTBRKHJMASSAP-BGJNVEJLSA-N,Plazomicin Sulfate
LT03739,Plecanatide,name,True,Plecanatide,,,PubChem_name_property,70693500.0,C65H104N18O26S4,1681.9,C[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)CNC(=O)[C@@H](NC2=O)[C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)O)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)C(C)C)CC(=O)N)C(C)C)CC(C)C)CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)N,CC1C(=O)NC2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(NC(=O)CNC(=O)C(NC2=O)C(C)O)C(=O)NC(CC(C)C)C(=O)O)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)C(C)C)CC(=O)N)C(C)C)CC(C)C)CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CC(=O)N)N,NSPHQWLKCGGCQR-DLJDZFDSSA-N,Plecanatide
LT00486,Polidocanol,name,True,Polidocanol,,,PubChem_name_property,656641.0,C30H62O10,582.8,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,ONJQDTZCDSESIW-UHFFFAOYSA-N,Nonaethylene Glycol Monododecyl Ether
LT00995,Polyethylene glycol 3350,chembl_id,False,CHEMBL1201478,200.0,,,,,,,,,
LT00995,Polyethylene glycol 3350,name,False,Polyethylene glycol 3350,,,,,,,,,,
LT00995,Polyethylene glycol 3350,ChEMBL_synonym,False,CHEMBL1201478,,,,,,,,,,
LT01291,Polymyxin b sulfate,name,False,Polymyxin b sulfate,,,,,,,,,,
LT01291,Polymyxin b sulfate,name,False,Polymyxin b,,,,,,,,,,
